

------------------------------------  newthyroid  ------------------------------------
SEED: 0

--------> Restriction: 10
84.3836173151103 Mejora 
84.3836173151103 Mejora 
84.3836173151103 Mejora 
84.3836173151103 Mejora 
84.3836173151103 Mejora 
84.3836173151103 Mejora 
84.3836173151103 Mejora 
84.3836173151103 Mejora 
84.3836173151103 Mejora 
TIME: 1127.4622101783752

OBJ_RATE: 84.3836173151103
C_RATE: 80.8362045527949
INF_RATE: 97


--------> Restriction: 20
85.00442269577636 Mejora 
85.00442269577636 Mejora 
85.00442269577636 Mejora 
85.00442269577636 Mejora 
85.00442269577636 Mejora 
85.00442269577636 Mejora 
85.00442269577636 Mejora 
85.00442269577636 Mejora 
85.00442269577636 Mejora 
TIME: 1726.188010931015

OBJ_RATE: 85.00442269577636
C_RATE: 80.8362045527949
INF_RATE: 228
